Area,BHK,Bathroom,Furnishing,Parking,Price,Transaction,Type,Price Per_Sqft
800,3,2,Semi-Furnished,1,6500000,New_Property,Builder_Floor,
750,2,2,Semi-Furnished,1,5000000,New_Property,Apartment,6667
950,2,2,Furnished,1,15500000,Resale,Apartment,6667
600,2,2,Semi-Furnished,1,4200000,Resale,Builder_Floor,6667
650,2,2,Semi-Furnished,1,6200000,New_Property,Builder_Floor,6667
1300,4,3,Semi-Furnished,1,15500000,New_Property,Builder_Floor,6667
1350,4,3,Semi-Furnished,1,10000000,Resale,Builder_Floor,6667
650,2,2,Semi-Furnished,1,4000000,New_Property,Apartment,6154
985,3,3,Unfurnished,1,6800000,New_Property,Builder_Floor,6154
1300,4,4,Semi-Furnished,1,15000000,New_Property,Builder_Floor,6154
1100,3,2,Semi-Furnished,1,6200000,New_Property,Builder_Floor,6154
870,3,2,Semi-Furnished,1,7700000,New_Property,Builder_Floor,6154
630,2,2,Semi-Furnished,1,5500000,New_Property,Builder_Floor,6154
660,2,2,Semi-Furnished,1,5000000,Resale,Builder_Floor,6154
344.4448,2,2,Semi-Furnished,1,3310000,Resale,Builder_Floor,6154
660,2,2,Semi-Furnished,1,4700000,New_Property,Builder_Floor,6154
550,2,2,Semi-Furnished,1,4500000,New_Property,Builder_Floor,6154
1100,4,3,Semi-Furnished,1,17000000,New_Property,Builder_Floor,6154
1150,3,3,Semi-Furnished,1,25000000,Resale,Apartment,6154
650,2,2,Semi-Furnished,1,6000000,Resale,Builder_Floor,6154
850,2,2,Semi-Furnished,1,11000000,Resale,Apartment,6154
900,3,2,Semi-Furnished,5,4500000,Resale,Builder_Floor,6154
430.556,1,1,Furnished,2,5300000,Resale,Apartment,6154
900,2,2,Semi-Furnished,1,10500000,Resale,Apartment,6154
914.9315,2,2,Semi-Furnished,1,12000000,Resale,Builder_Floor,6154
1100,3,3,Furnished,1,7000000,New_Property,Builder_Floor,6364
800,3,2,Semi-Furnished,1,7000000,Resale,Builder_Floor,8750
500,1,1,Semi-Furnished,1,3400000,Resale,Apartment,8750
28,2,2,Furnished,1,5000000,New_Property,Apartment,8750
